DATAFLOW,LAST UPDATE,freq,unit,icd10,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2015,1178.37,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2016,1088.92,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2017,1133.35,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2018,1081.41,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2019,1054.51,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2020,1143.44,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Hungary,2011,1236.92,d
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Hungary,2012,1252.5,d
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Hungary,2013,1214.13,d
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Hungary,2014,1180.39,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Hungary,2015,1230.82,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Hungary,2016,1146.58,
