DATAFLOW,LAST UPDATE,freq,unit,icha11_hc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2020,8813.32,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2021,9175.30,b
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2011,1500.98,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2012,1474.97,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2013,1449.97,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2014,1421.46,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2015,1438.18,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2016,1485.39,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2017,1564.91,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2018,1700.49,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2019,1856.90,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2020,2063.70,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2021,2515.24,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Cyprus,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2011,1189.59,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2012,1179.40,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2013,1140.70,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2014,1141.45,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2015,1184.78,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2016,1250.32,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2017,1352.45,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2018,1482.65,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2019,1607.42,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2020,1858.66,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2021,2151.86,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Czechia,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2011,3616.62,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2012,3704.79,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2013,3834.33,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2014,3985.74,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2015,4145.65,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2016,4279.41,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2017,4480.82,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2018,4660.36,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2019,4897.05,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2020,5197.59,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2021,5599.48,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Germany,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2011,4630.93,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2012,4790.53,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2013,4759.80,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2014,4854.70,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2015,4969.01,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2016,5066.91,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2017,5164.02,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2018,5269.24,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2019,5404.57,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2020,5645.77,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2021,6223.01,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Denmark,2022,6050.30,p
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2011,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2012,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2013,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2014,3087.83,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2015,3175.04,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2016,3249.32,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2017,3349.84,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2018,3453.95,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2019,3589.90,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2020,3762.96,p
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2021,4077.36,p
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area - 19 countries  (2015-2022),2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2011,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2012,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2013,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2014,3058.12,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2015,3144.95,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2016,3219.19,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2017,3319.39,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2018,3423.39,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2019,3558.65,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2020,3730.26,p
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2021,4044.15,p
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Euro area – 20 countries (from 2023),2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2011,763.63,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2012,825.61,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2013,901.15,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2014,970.27,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2015,1041.66,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2016,1107.80,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2017,1193.55,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2018,1312.58,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2019,1426.42,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2020,1565.67,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2021,1769.74,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Estonia,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2011,1683.11,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2012,1522.08,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2013,1384.25,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2014,1284.05,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2015,1339.78,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2016,1368.10,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2017,1338.15,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2018,1358.49,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2019,1401.97,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2020,1469.31,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2021,1576.75,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Greece,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2011,2086.43,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2012,2018.02,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2013,1984.42,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2014,2018.28,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2015,2117.44,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2016,2145.04,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2017,2231.74,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2018,2314.42,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2019,2416.70,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2020,2536.34,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2021,2733.59,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Spain,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2011,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2012,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2013,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2014,2658.83,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2015,2737.72,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2016,2806.46,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2017,2902.15,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2018,2994.62,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2019,3116.01,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2020,3271.35,p
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2021,3562.06,p
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),European Union - 27 countries (from 2020),2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Finland,2011,3389.10,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Finland,2012,3559.49,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Finland,2013,3683.49,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Finland,2014,3705.37,
