DATAFLOW,LAST UPDATE,freq,unit,facility,hlthcare,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1990,404.14,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1991,404.19,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1992,402.76,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1993,379.98,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1994,298.68,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1995,317.55,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1996,312.35,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1997,303.44,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1998,304.32,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1999,317.38,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2000,331.99,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2001,326.49,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2002,317.50,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2003,313.00,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2004,310.71,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2005,308.29,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2006,312.24,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2007,309.46,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2008,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2009,300.77,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2010,298.93,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2011,288.24,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2012,288.44,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2013,288.97,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2014,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2015,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2016,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2017,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2018,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2019,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2020,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2021,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,2022,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1960,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1961,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1962,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1963,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1964,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1965,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1966,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1967,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1968,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1969,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1970,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1971,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1972,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1973,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1974,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1975,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1976,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1977,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1978,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1979,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1980,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1981,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1982,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1983,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1984,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1985,993.63,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1986,991.20,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1987,979.01,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1988,965.21,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1989,951.42,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1990,928.96,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1991,904.50,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1992,883.44,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1993,869.37,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1994,859.59,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1995,853.68,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1996,843.99,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1997,834.33,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1998,820.00,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,1999,808.66,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2000,794.78,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2001,784.78,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2002,780.65,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2003,773.34,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2004,773.45,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2005,768.71,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2006,766.20,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2007,775.20,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2008,769.31,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2009,767.91,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2010,765.33,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2011,767.63,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2012,767.39,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2013,764.46,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2014,758.39,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2015,753.68,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2016,742.14,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2017,736.62,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2018,727.16,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2019,718.90,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2020,705.10,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2021,691.47,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,2022,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1960,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1961,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1962,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1963,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1964,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1965,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1966,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1967,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1968,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1969,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1970,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1971,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1972,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1973,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1974,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1975,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1976,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1977,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1978,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1979,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1980,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1981,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1982,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1983,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1984,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1985,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1986,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1987,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1988,767.54,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1989,763.70,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1990,760.84,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1991,750.20,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1992,743.16,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1993,736.19,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1994,713.31,b
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1995,705.44,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1996,697.22,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1997,691.65,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1998,683.70,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,1999,679.33,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,2000,672.14,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,2001,662.07,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,2002,653.94,
